Date,Open,High,Low,Close,Volume,Market Cap,cons_date,date_diff,pos_chg,cum_pos,cost,market_value,cum_cost,pct_return
2017-12-16,17760.3,19716.7,17515.3,19497.4,"12,740,600,000","297,376,000,000",1900-01-01,-43083 days +00:00:00.000000000,0,0,0.0,0.0,0.0,
2017-12-17,19475.8,20089.0,18974.1,19140.8,"13,314,600,000","326,141,000,000",1900-01-01,-43084 days +00:00:00.000000000,0,0,0.0,0.0,0.0,
2017-12-18,19106.4,19371.0,18355.9,19114.2,"14,839,500,000","320,000,000,000",1900-01-01,-43085 days +00:00:00.000000000,0,0,0.0,0.0,0.0,
2017-12-19,19118.3,19177.8,17275.4,17776.7,"16,894,500,000","320,242,000,000",1900-01-01,-43086 days +00:00:00.000000000,0,0,0.0,0.0,0.0,
2017-12-20,17760.3,17934.7,16077.7,16624.6,"22,149,700,000","297,526,000,000",1900-01-01,-43087 days +00:00:00.000000000,0,0,0.0,0.0,0.0,
2017-12-21,16642.4,17567.7,15342.7,15802.9,"16,516,600,000","278,827,000,000",1900-01-01,-43088 days +00:00:00.000000000,0,0,0.0,0.0,0.0,
2017-12-22,15898.0,15943.4,11833.0,13831.8,"22,198,000,000","266,381,000,000",1900-01-01,-43089 days +00:00:00.000000000,0,0,0.0,0.0,0.0,
2017-12-23,13948.7,15603.2,13828.8,14699.2,"13,086,000,000","233,748,000,000",1900-01-01,-43090 days +00:00:00.000000000,0,0,0.0,0.0,0.0,
2017-12-24,14608.2,14626.0,12747.7,13925.8,"11,572,300,000","244,824,000,000",1900-01-01,-43091 days +00:00:00.000000000,0,0,0.0,0.0,0.0,
2017-12-25,13995.9,14593.0,13448.9,14026.6,"10,664,700,000","234,590,000,000",1900-01-01,-43092 days +00:00:00.000000000,0,0,0.0,0.0,0.0,
2017-12-26,14036.6,16461.2,14028.9,16099.8,"13,454,300,000","235,294,000,000",1900-01-01,-43093 days +00:00:00.000000000,0,0,0.0,0.0,0.0,
