PID,AID,Date,mv,cost
S02,AAPL,2014-03-03,0.0,0.0
S02,AAPL,2014-03-04,0.0,0.0
S02,AAPL,2014-03-05,0.0,0.0
S02,AAPL,2014-03-06,0.0,0.0
S02,AAPL,2014-03-07,0.0,0.0
S02,AAPL,2014-03-10,0.0,0.0
S02,AAPL,2014-03-11,0.0,0.0
S02,AAPL,2014-03-12,0.0,0.0
S02,AAPL,2014-03-13,0.0,0.0
S02,AAPL,2014-03-14,0.0,0.0
S02,AAPL,2014-03-17,0.0,0.0
S02,AAPL,2014-03-18,0.0,0.0
S02,AAPL,2014-03-19,0.0,0.0
S02,AAPL,2014-03-20,0.0,0.0
S02,AAPL,2014-03-21,0.0,0.0
S02,AAPL,2014-03-24,0.0,0.0
S02,AAPL,2014-03-25,0.0,0.0
S02,AAPL,2014-03-26,0.0,0.0
S02,AAPL,2014-03-27,0.0,0.0
S02,AAPL,2014-03-28,0.0,0.0
S02,AAPL,2014-03-31,0.0,0.0
S02,AAPL,2014-04-01,999.9999999999999,999.9999999999999
S02,AAPL,2014-04-02,1001.6617008748727,999.9999999999999
S02,AAPL,2014-04-03,994.7202074743176,999.9999999999999
S02,AAPL,2014-04-04,981.8519892350206,999.9999999999999
S02,AAPL,2014-04-07,966.4359835952837,999.9999999999999
S02,AAPL,2014-04-08,966.3807840437901,999.9999999999999
S02,AAPL,2014-04-09,979.0824244467284,999.9999999999999
S02,AAPL,2014-04-10,966.4547049681892,999.9999999999999
S02,AAPL,2014-04-11,959.309395590633,999.9999999999999
S02,AAPL,2014-04-14,963.1314201356829,999.9999999999999
S02,AAPL,2014-04-15,956.2632923026409,999.9999999999999
S02,AAPL,2014-04-16,958.2018531996208,999.9999999999999
S02,AAPL,2014-04-17,969.1499103924359,999.9999999999999
S02,AAPL,2014-04-21,980.651687629465,999.9999999999999
S02,AAPL,2014-04-22,981.6303287644075,999.9999999999999
S02,AAPL,2014-04-23,968.7992463631689,999.9999999999999
S02,AAPL,2014-04-24,1048.223158297363,999.9999999999999
S02,AAPL,2014-04-25,1055.9217492794867,999.9999999999999
S02,AAPL,2014-04-28,1096.815292786562,999.9999999999999
S02,AAPL,2014-04-29,1093.5661480982776,999.9999999999999
S02,AAPL,2014-04-30,1089.4305807473638,999.9999999999999
S02,AAPL,2014-05-01,2091.996767998302,2000.0
S02,AAPL,2014-05-02,2095.8876609100344,2000.0
S02,AAPL,2014-05-05,2125.526874342046,2000.0
S02,AAPL,2014-05-06,2102.360200606001,2000.0
S02,AAPL,2014-05-07,2095.003313615583,2000.0
S02,AAPL,2014-05-08,2163.781376382169,2000.0
S02,AAPL,2014-05-09,2154.7656032651034,2000.0
S02,AAPL,2014-05-12,2181.5928857206163,2000.0
S02,AAPL,2014-05-13,2185.0153147897995,2000.0
S02,AAPL,2014-05-14,2185.4194670469833,2000.0
S02,AAPL,2014-05-15,2166.836190686072,2000.0
S02,AAPL,2014-05-16,2198.814839528788,2000.0
S02,AAPL,2014-05-19,2224.8690950483224,2000.0
S02,AAPL,2014-05-20,2225.310400755128,2000.0
S02,AAPL,2014-05-21,2231.198732553734,2000.0
S02,AAPL,2014-05-22,2234.7313900563445,2000.0
S02,AAPL,2014-05-23,2259.976053149919,2000.0
S02,AAPL,2014-05-27,2302.2952881686156,2000.0
S02,AAPL,2014-05-28,2296.3343293554517,2000.0
S02,AAPL,2014-05-29,2338.175301204269,2000.0
S02,AAPL,2014-05-30,2329.416942417134,2000.0
S02,AAPL,2014-06-02,2313.409349249824,2000.0
S02,AAPL,2014-06-03,2346.124095563522,2000.0
S02,AAPL,2014-06-04,2372.9140285828676,2000.0
S02,AAPL,2014-06-05,2382.224341481408,2000.0
S02,AAPL,2014-06-06,2375.674695078389,2000.0
S02,AAPL,2014-06-09,2413.688441645043,2000.0
S02,AAPL,2014-06-10,2427.8560291185618,2000.0
S02,AAPL,2014-06-11,2417.8102347067584,2000.0
S02,AAPL,2014-06-12,2377.366674933335,2000.0
S02,AAPL,2014-06-13,2351.3494048749535,2000.0
S02,AAPL,2014-06-16,2375.048182085039,2000.0
S02,AAPL,2014-06-17,2371.957054273859,2000.0
S02,AAPL,2014-06-18,2374.533801394427,2000.0
S02,AAPL,2014-06-19,2366.290243269076,2000.0
S02,AAPL,2014-06-20,2341.818831096104,2000.0
S02,AAPL,2014-06-23,2339.7573046084894,2000.0
S02,AAPL,2014-06-24,2325.5899411195956,2000.0
S02,AAPL,2014-06-25,2327.650403680243,2000.0
S02,AAPL,2014-06-26,2341.560800808456,2000.0
S02,AAPL,2014-06-27,2369.381567066803,2000.0
S02,AAPL,2014-06-30,2393.852755255149,2000.0
S02,AAPL,2014-07-01,3409.051007979202,3000.0
S02,AAPL,2014-07-02,3407.5928292920025,3000.0
S02,AAPL,2014-07-03,3427.6422711795067,3000.0
S02,AAPL,2014-07-07,3498.3606886592984,3000.0
S02,AAPL,2014-07-08,3475.759711409995,3000.0
S02,AAPL,2014-07-09,3477.2172957954804,3000.0
S02,AAPL,2014-07-10,3464.4596586066014,3000.0
S02,AAPL,2014-07-11,3471.0203137156827,3000.0
S02,AAPL,2014-07-14,3515.8571292407723,3000.0
S02,AAPL,2014-07-15,3474.6669886572245,3000.0
S02,AAPL,2014-07-16,3454.981457519692,3000.0
S02,AAPL,2014-07-17,3393.377290756725,3000.0
S02,AAPL,2014-07-18,3442.2235429900134,3000.0
S02,AAPL,2014-07-21,3424.3622407758235,3000.0
S02,AAPL,2014-07-22,3452.795100751522,3000.0
S02,AAPL,2014-07-23,3542.832682171788,3000.0
S02,AAPL,2014-07-24,3537.0008390655053,3000.0
S02,AAPL,2014-07-25,3560.329994395779,3000.0
S02,AAPL,2014-07-28,3609.5404743399513,3000.0
S02,AAPL,2014-07-29,3586.2112793895644,3000.0
S02,AAPL,2014-07-30,3577.8264349772544,3000.0
S02,AAPL,2014-07-31,3484.8724565624757,3000.0
S02,AAPL,2014-08-01,4504.192848726494,4000.0
S02,AAPL,2014-08-04,4478.891545103,4000.0
S02,AAPL,2014-08-05,4456.869558180813,4000.0
S02,AAPL,2014-08-06,4449.371889158557,4000.0
S02,AAPL,2014-08-07,4448.901378279991,4000.0
S02,AAPL,2014-08-08,4461.14387883768,4000.0
S02,AAPL,2014-08-11,4520.004438352525,4000.0
S02,AAPL,2014-08-12,4519.063009182579,4000.0
S02,AAPL,2014-08-13,4578.864997867372,4000.0
S02,AAPL,2014-08-14,4591.10749842506,4000.0
S02,AAPL,2014-08-15,4613.710354172974,4000.0
S02,AAPL,2014-08-18,4669.2749439875615,4000.0
S02,AAPL,2014-08-19,4733.7852498339425,4000.0
S02,AAPL,2014-08-20,4735.668515586655,4000.0
S02,AAPL,2014-08-21,4736.139841290857,4000.0
S02,AAPL,2014-08-22,4770.986317981708,4000.0
S02,AAPL,2014-08-25,4781.3444324014345,4000.0
S02,AAPL,2014-08-26,4750.736067553219,4000.0
