PID,AID,Date,Open,High,Low,Close,Adj Close,Volume,YMD,day,qty_chg_1,mv_1,cum_cost_1,return_1
P1,CRM,2018-05-01,120.879997,123.32,120.41999799999999,123.110001,123.110001,3873900,2018-05-01,01,8.122816926952995,1000.0000000000001,1000.0000000000001,1.0
P1,CRM,2018-05-02,122.290001,123.970001,121.739998,122.82,122.82,3671000,2018-05-02,02,0.0,997.6443749683667,1000.0000000000001,0.9976443749683666
P1,CRM,2018-05-03,122.620003,125.0,121.66999799999999,124.410004,124.410004,4435600,2018-05-03,03,0.0,1010.5596863734897,1000.0000000000001,1.0105596863734896
P1,CRM,2018-05-04,124.379997,125.839996,122.980003,125.120003,125.120003,6341200,2018-05-04,04,0.0,1016.3268782688094,1000.0000000000001,1.0163268782688093
P1,CRM,2018-05-07,125.790001,127.690002,125.459999,126.970001,126.970001,4342000,2018-05-07,07,0.0,1031.3540733380387,1000.0000000000001,1.0313540733380386
P1,CRM,2018-05-08,126.589996,128.96000700000002,126.5,128.75,128.75,4467800,2018-05-08,08,0.0,1045.8126793451981,1000.0000000000001,1.045812679345198
P1,CRM,2018-05-09,128.880005,129.740005,127.33000200000001,129.729996,129.729996,4605300,2018-05-09,09,0.0,1053.7730074423444,1000.0000000000001,1.0537730074423441
P1,CRM,2018-05-10,129.949997,131.0,129.050003,130.619995,130.619995,3772400,2018-05-10,10,0.0,1061.0023063845154,1000.0000000000001,1.0610023063845153
P1,CRM,2018-05-11,130.0,130.850006,128.889999,130.630005,130.630005,3233200,2018-05-11,11,0.0,1061.0836157819544,1000.0000000000001,1.0610836157819543
P1,CRM,2018-05-14,130.78999299999998,131.0,127.160004,127.690002,127.690002,4169800,2018-05-14,14,0.0,1037.2025096482619,1000.0000000000001,1.0372025096482618
P1,CRM,2018-05-15,126.93,128.58999599999999,126.089996,128.130005,128.130005,2933100,2018-05-15,15,0.0,1040.776573464572,1000.0000000000001,1.040776573464572
P1,CRM,2018-05-16,128.71000700000002,128.970001,127.91999799999999,128.770004,128.770004,2439900,2018-05-16,16,0.0,1045.975168175005,1000.0000000000001,1.0459751681750047
P1,CRM,2018-05-17,129.190002,129.46000700000002,125.550003,126.050003,126.050003,5557000,2018-05-17,17,0.0,1023.8810980108758,1000.0000000000001,1.0238810980108757
