Date,Open,High,Low,Close,Volume,Market Cap,cons_date,date_diff,pos_chg,cum_pos,cost,market_value,cum_cost,pct_return
2017-12-16,17760.3,19716.7,17515.3,19497.4,12740599808,297375760384,1900-01-01,-43083 days +00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,
2017-12-17,19475.8,20089.0,18974.1,19140.8,13314599936,326141280256,1900-01-01,-43084 days +00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,
2017-12-18,19106.4,19371.0,18355.9,19114.2,14839499776,320000294912,1900-01-01,-43085 days +00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,
2017-12-19,19118.3,19177.8,17275.4,17776.7,16894499840,320242253824,1900-01-01,-43086 days +00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,
2017-12-20,17760.3,17934.7,16077.7,16624.6,22149699584,297526394880,1900-01-01,-43087 days +00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,
2017-12-21,16642.4,17567.7,15342.7,15802.9,16516599808,278826811392,1900-01-01,-43088 days +00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,
2017-12-22,15898.0,15943.4,11833.0,13831.8,22197999616,266381426688,1900-01-01,-43089 days +00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,
2017-12-23,13948.7,15603.2,13828.8,14699.2,13086000128,233747824640,1900-01-01,-43090 days +00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,
2017-12-24,14608.2,14626.0,12747.7,13925.8,11572299776,244823687168,1900-01-01,-43091 days +00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,
2017-12-25,13995.9,14593.0,13448.9,14026.6,10664699904,234589569024,1900-01-01,-43092 days +00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,
2017-12-26,14036.6,16461.2,14028.9,16099.8,13454300160,235294408704,1900-01-01,-43093 days +00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,
2017-12-27,16163.5,16930.9,15114.3,15838.5,12487600128,270976270336,1900-01-01,-43094 days +00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,
2017-12-28,15864.1,15888.4,13937.3,14606.5,12336499712,265988489216,1900-01-01,-43095 days +00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,
2017-12-29,14695.8,15279.0,14307.0,14656.2,13025500160,246427598848,1900-01-01,-43096 days +00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,
2017-12-30,14681.9,14681.9,12350.1,12952.2,14452599808,246223912960,1900-01-01,-43097 days +00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,
2017-12-31,12897.7,14377.4,12755.6,14156.4,12136299520,216325586944,1900-01-01,-43098 days +00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,
2018-01-01,14112.2,14112.2,13154.7,13657.2,10291200000,236724797440,1900-01-01,-43099 days +00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,
2018-01-02,13625.0,15444.6,13163.6,14982.1,16846600192,228578836480,1900-01-01,-43100 days +00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,
2018-01-03,14978.2,15572.8,14844.5,15201.0,16871900160,251311702016,1900-01-01,-43101 days +00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,
2018-01-04,15270.7,15739.7,14522.2,15599.2,21783199744,256250429440,1900-01-01,-43102 days +00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,
2018-01-05,15477.2,17705.2,15202.8,17429.5,23840899072,259747708928,1900-01-01,-43103 days +00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,
2018-01-06,17462.1,17712.4,16764.6,17527.0,18314600448,293090852864,1900-01-01,-43104 days +00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,
2018-01-07,17527.3,17579.6,16087.7,16477.6,15866000384,294222364672,1900-01-01,-43105 days +00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,
2018-01-08,16476.2,16537.9,14208.2,15170.1,18413899776,276611596288,1900-01-01,-43106 days +00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,
2018-01-09,15123.7,15497.5,14424.0,14595.4,16659999744,253935419392,1900-01-01,-43107 days +00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,
2018-01-10,14588.5,14973.3,13691.2,14973.3,18500800512,244980531200,1900-01-01,-43108 days +00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,
2018-01-11,14968.2,15018.8,13105.9,13405.8,16534099968,251387068416,1900-01-01,-43109 days +00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,
2018-01-12,13453.9,14229.9,13158.1,13980.6,12065699840,225986084864,1900-01-01,-43110 days +00:00:00.000000000,7.152768836816731e-05,7.152768836816731e-05,1.0,1.0,1.0,0.0
2018-01-13,13952.4,14659.5,13952.4,14360.2,12763599872,234391027712,1900-01-01,-43111 days +00:00:00.000000000,0.0,7.152768836816731e-05,0.0,1.0271519105045563,1.0,0.027151910504556342
2018-01-14,14370.8,14511.8,13268.0,13772.0,11084099584,241446797312,1900-01-01,-43112 days +00:00:00.000000000,0.0,7.152768836816731e-05,0.0,0.9850793242064002,1.0,-0.014920675793599791
2018-01-15,13767.3,14445.5,13641.7,13819.8,12750799872,231334150144,1900-01-01,-43113 days +00:00:00.000000000,0.0,7.152768836816731e-05,0.0,0.9884983477103986,1.0,-0.011501652289601427
2018-01-16,13836.1,13843.1,10194.9,11490.5,18853799936,232517451776,1900-01-01,-43114 days +00:00:00.000000000,0.0,7.152768836816731e-05,0.0,0.8218889031944265,1.0,-0.17811109680557347
2018-01-17,11431.1,11678.0,9402.29,11188.6,18830600192,192123404288,1900-01-01,-43115 days +00:00:00.000000000,0.0,7.152768836816731e-05,0.0,0.8002946940760768,1.0,-0.19970530592392322
2018-01-18,11198.8,12107.3,10942.5,11474.9,15020399616,188241526784,1900-01-01,-43116 days +00:00:00.000000000,0.0,7.152768836816731e-05,0.0,0.8207730712558831,1.0,-0.17922692874411694
2018-01-19,11429.8,11992.8,11172.1,11607.4,10740400128,192149700608,1900-01-01,-43117 days +00:00:00.000000000,0.0,7.152768836816731e-05,0.0,0.8302504899646652,1.0,-0.16974951003533478
2018-01-20,11656.2,13103.0,11656.2,12899.2,11801700352,195978788864,1900-01-01,-43118 days +00:00:00.000000000,0.0,7.152768836816731e-05,0.0,0.9226499577986639,1.0,-0.07735004220133612
2018-01-21,12889.2,12895.9,11288.2,11600.1,9935179776,216740282368,1900-01-01,-43119 days +00:00:00.000000000,0.0,7.152768836816731e-05,0.0,0.8297283378395777,1.0,-0.17027166216042233
2018-01-22,11633.1,11966.4,10240.2,10931.4,10537400320,195644588032,1900-01-01,-43120 days +00:00:00.000000000,0.0,7.152768836816731e-05,0.0,0.7818977726277841,1.0,-0.21810222737221585
2018-01-23,10944.5,11377.6,10129.7,10868.4,9660609536,184087085056,1900-01-01,-43121 days +00:00:00.000000000,0.0,7.152768836816731e-05,0.0,0.7773915282605895,1.0,-0.22260847173941045
2018-01-24,10903.4,11501.4,10639.8,11359.4,9940989952,183418601472,1900-01-01,-43122 days +00:00:00.000000000,0.0,7.152768836816731e-05,0.0,0.8125116232493598,1.0,-0.18748837675064023
2018-01-25,11421.7,11785.7,11057.4,11259.4,8873169920,192162840576,1900-01-01,-43123 days +00:00:00.000000000,0.0,7.152768836816731e-05,0.0,0.805358854412543,1.0,-0.19464114558745704
2018-01-26,11256.0,11656.7,10470.3,11171.4,9746199552,189397811200,1900-01-01,-43124 days +00:00:00.000000000,0.0,7.152768836816731e-05,0.0,0.7990644178361442,1.0,-0.20093558216385576
2018-01-27,11174.9,11614.9,10989.2,11440.7,7583269888,188054274048,1900-01-01,-43125 days +00:00:00.000000000,0.0,7.152768836816731e-05,0.0,0.8183268243136919,1.0,-0.18167317568630814
2018-01-28,11475.3,12040.3,11475.3,11786.3,8350360064,193133117440,1900-01-01,-43126 days +00:00:00.000000000,0.0,7.152768836816731e-05,0.0,0.8430467934137303,1.0,-0.15695320658626966
2018-01-29,11755.5,11875.6,11179.2,11296.4,7107359744,197870944256,1900-01-01,-43127 days +00:00:00.000000000,0.0,7.152768836816731e-05,0.0,0.8080053788821652,1.0,-0.19199462111783483
2018-01-30,11306.8,11307.2,10036.2,10106.3,8637859840,190339072000,1900-01-01,-43128 days +00:00:00.000000000,0.0,7.152768836816731e-05,0.0,0.7228802769552093,1.0,-0.2771197230447907
2018-01-31,10108.2,10381.6,9777.42,10221.1,8041160192,170183426048,1900-01-01,-43129 days +00:00:00.000000000,0.0,7.152768836816731e-05,0.0,0.731091655579875,1.0,-0.268908344420125
2018-02-01,10237.3,10288.8,8812.28,9170.54,9959400448,172372410368,1900-01-01,-43130 days +00:00:00.000000000,0.0,7.152768836816731e-05,0.0,0.6559475272878131,1.0,-0.34405247271218686
2018-02-02,9142.28,9142.28,7796.49,8830.75,12726899712,153952600064,1900-01-01,-43131 days +00:00:00.000000000,0.0,7.152768836816731e-05,0.0,0.6316431340571935,1.0,-0.3683568659428065
2018-02-03,8852.12,9430.75,8251.63,9174.91,7263790080,149085257728,1900-01-01,-43132 days +00:00:00.000000000,0.0,7.152768836816731e-05,0.0,0.6562601032859819,1.0,-0.34373989671401806
2018-02-04,9175.7,9334.87,8031.22,8277.01,7073549824,154553286656,1900-01-01,-43133 days +00:00:00.000000000,0.0,7.152768836816731e-05,0.0,0.5920353919002045,1.0,-0.4079646080997955
2018-02-05,8270.54,8364.84,6756.68,6955.27,9285289984,139324735488,1900-01-01,-43134 days +00:00:00.000000000,0.0,7.152768836816731e-05,0.0,0.4974943850764631,1.0,-0.502505614923537
2018-02-06,7051.75,7850.7,6048.26,7754.0,13999800320,118809837568,1900-01-01,-43135 days +00:00:00.000000000,0.0,7.152768836816731e-05,0.0,0.5546256956067693,1.0,-0.44537430439323067
2018-02-07,7755.49,8509.11,7236.79,7621.3,9169280000,130683248640,1900-01-01,-43136 days +00:00:00.000000000,0.0,7.152768836816731e-05,0.0,0.5451339713603135,1.0,-0.4548660286396865
2018-02-08,7637.86,8558.77,7637.86,8265.59,9346750464,128714047488,1900-01-01,-43137 days +00:00:00.000000000,0.0,7.152768836816731e-05,0.0,0.5912185456990401,1.0,-0.4087814543009599
2018-02-09,8271.84,8736.98,7884.71,8736.98,6784820224,139411996672,1900-01-01,-43138 days +00:00:00.000000000,0.0,7.152768836816731e-05,0.0,0.6249359827189104,1.0,-0.3750640172810896
2018-02-10,8720.08,9122.55,8295.47,8621.9,7780960256,146981191680,1900-01-01,-43139 days +00:00:00.000000000,0.0,7.152768836816731e-05,0.0,0.6167045763415018,1.0,-0.3832954236584982
2018-02-11,8616.13,8616.13,7931.1,8129.97,6122189824,145244585984,1900-01-01,-43140 days +00:00:00.000000000,0.00012300168389305248,0.0001945293722612198,0.9999999999999999,1.5815179606025491,2.0,-0.20924101969872544
2018-02-12,8141.43,8985.92,8141.43,8926.57,6256439808,137257820160,1900-01-01,-43141 days +00:00:00.000000000,0.0,0.0001945293722612198,0.0,1.7364800585458366,2.0,-0.13175997072708168
2018-02-13,8926.72,8958.47,8455.41,8598.31,5696719872,150515712000,1900-01-01,-43142 days +00:00:00.000000000,0.0,0.0001945293722612198,0.0,1.6726238468073686,2.0,-0.16368807659631568
2018-02-14,8599.92,9518.54,8599.92,9494.63,7909819904,145023090688,1900-01-01,-43143 days +00:00:00.000000000,0.0,0.0001945293722612198,0.0,1.846984413752545,2.0,-0.07650779312372746
2018-02-15,9488.32,10234.8,9395.58,10166.4,9062540288,160025198592,1900-01-01,-43144 days +00:00:00.000000000,0.0,0.0001945293722612198,0.0,1.977663410156465,2.0,-0.011168294921767519
2018-02-16,10135.7,10324.1,9824.82,10233.9,7296159744,170960158720,1900-01-01,-43145 days +00:00:00.000000000,0.0,0.0001945293722612198,0.0,1.9907941427840972,2.0,-0.0046029286079514176
2018-02-17,10207.5,11139.5,10149.4,11112.7,8660880384,172191072256,1900-01-01,-43146 days +00:00:00.000000000,0.0,0.0001945293722612198,0.0,2.1617465551272574,2.0,0.08087327756362872
2018-02-18,11123.4,11349.8,10326.0,10551.8,8744009728,187662860288,1900-01-01,-43147 days +00:00:00.000000000,0.0,0.0001945293722612198,0.0,2.052635030225939,2.0,0.026317515112969536
2018-02-19,10552.6,11273.8,10513.2,11225.3,7652089856,178054987776,1900-01-01,-43148 days +00:00:00.000000000,0.0,0.0001945293722612198,0.0,2.1836505624438702,2.0,0.09182528122193512
2018-02-20,11231.8,11958.5,11231.8,11403.7,9926540288,189535830016,1900-01-01,-43149 days +00:00:00.000000000,0.0,0.0001945293722612198,0.0,2.2183546024552725,2.0,0.10917730122763625
2018-02-21,11372.2,11418.5,10479.1,10690.4,9405339648,191926796288,1900-01-01,-43150 days +00:00:00.000000000,0.0,0.0001945293722612198,0.0,2.079596801221344,2.0,0.03979840061067197
2018-02-22,10660.4,11039.1,9939.09,10005.0,8040079872,179936477184,1900-01-01,-43151 days +00:00:00.000000000,0.0,0.0001945293722612198,0.0,1.946266369473504,2.0,-0.026866815263247967
2018-02-23,9937.07,10487.3,9734.56,10301.1,7739500032,167745568768,1900-01-01,-43152 days +00:00:00.000000000,0.0,0.0001945293722612198,0.0,2.003866516600051,2.0,0.0019332583000255532
2018-02-24,10287.7,10597.2,9546.97,9813.07,6917929984,173682327552,1900-01-01,-43153 days +00:00:00.000000000,0.0,0.0001945293722612198,0.0,1.908930347055408,2.0,-0.04553482647229601
2018-02-25,9796.42,9923.22,9407.06,9664.73,5706939904,165406720000,1900-01-01,-43154 days +00:00:00.000000000,0.0,0.0001945293722612198,0.0,1.8800738599741786,2.0,-0.05996307001291068
2018-02-26,9669.43,10475.0,9501.73,10366.7,7287690240,163283419136,1900-01-01,-43155 days +00:00:00.000000000,0.0,0.0001945293722612198,0.0,2.0166276434203874,2.0,0.00831382171019368
2018-02-27,10393.9,10878.5,10246.1,10725.6,6966179840,175536128000,1900-01-01,-43156 days +00:00:00.000000000,0.0,0.0001945293722612198,0.0,2.0864442351249393,2.0,0.04322211756246963
2018-02-28,10687.2,11089.8,10393.1,10397.9,6936189952,180509966336,1900-01-01,-43157 days +00:00:00.000000000,0.0,0.0001945293722612198,0.0,2.022696959834937,2.0,0.011348479917468568
2018-03-01,10385.0,11052.3,10352.7,10951.0,7317279744,175427076096,1900-01-01,-43158 days +00:00:00.000000000,0.0,0.0001945293722612198,0.0,2.130291155632618,2.0,0.06514557781630903
2018-03-02,10977.4,11189.0,10850.1,11086.4,7620590080,185456082944,1900-01-01,-43159 days +00:00:00.000000000,0.0,0.0001945293722612198,0.0,2.156630432636787,2.0,0.07831521631839355
2018-03-03,11101.9,11528.2,11002.4,11489.7,6690570240,187581399040,1900-01-01,-43160 days +00:00:00.000000000,0.0,0.0001945293722612198,0.0,2.235084128469737,2.0,0.11754206423486857
2018-03-04,11497.4,11512.6,11136.1,11512.6,6084149760,194289254400,1900-01-01,-43161 days +00:00:00.000000000,0.0,0.0001945293722612198,0.0,2.239538851094519,2.0,0.11976942554725944
2018-03-05,11532.4,11704.1,11443.9,11573.3,6468539904,194902605824,1900-01-01,-43162 days +00:00:00.000000000,0.0,0.0001945293722612198,0.0,2.251346783990775,2.0,0.1256733919953874
2018-03-06,11500.1,11500.1,10694.3,10779.9,6832169984,194378252288,1900-01-01,-43163 days +00:00:00.000000000,0.0,0.0001945293722612198,0.0,2.097007180038723,2.0,0.04850359001936155
